filenameΓtextΓdateΓlemmaΓclean_lem
"Γ2/12/2018Γprédio em o região central de SP ser interditar o chama atingir ainda um edifício que abrigar loja e um fábrica de tecido em o rua Cavalheiro Basílio Jafe 2/12/2018 o Defesa Civil de o município de São Paulo realizar , em este manhã , o vistoria em quatro prédio localizar em o rua Jorge Azem e de o Cavalheiro Basílio Jafet , região central de São Paulo . o prédio que ser atingir por o incêndio seguir interditar por risco iminente de colapso de o estrutura . o demais ser liberar após o dispersão de o fumaça .Γpredio regiao central sp ser interditar chama atingir ainda edificio abrigar loja fabrica tecido rua cavalheiro basilio jafe defesa civil realizar manha vistoria quatro predio localizar rua jorge azem cavalheiro basilio jafet regiao central predio ser atingir incendio seguir interditar risco iminente colapso estrutura demais ser liberar apos dispersao fumaca
C:\3\DOUTORADO\NATUREZAS\1\3. NOTÍCIAS INSTITUCIONAIS\prefeitura\seguranca_urbana-defesa_civil\2018-12-05-1-1.txtΓ"








   Equipe de resposta da Defesa Civil Oeste    5/12/2018  A Defesa Civil da Cidade de São Paulo atuou com a equipe de resposta oeste no atendimento de incêndio na comunidade na Av. Dr Gastão Vidigal x com Avenida Engenheiro Roberto Zucolo, na Lapa que começou por volta das 10h de hoje (25). Participaram da Ação Corpo de Bombeiros, SMADS entre outras secretarias.
"Γ5/12/2018Γequipe de resposta de o Defesa Civil Oeste 5/12/2018 o Defesa Civil de o Cidade de São Paulo atuar com o equipe de resposta oeste em o atendimento de incêndio em o comunidade em o Av. Dr Gastão Vidigal x com Avenida Engenheiro Roberto Zucolo , em o Lapa que começar por volta de o 10h de hoje ( 25 ) . participar de o Ação Corpo de Bombeiros , SMADS entre outro secretaria .Γequipe resposta defesa civil oeste defesa civil atuar equipe resposta oeste atendimento incendio comunidade av dr gastao vidigal x avenida engenheiro roberto zucolo lapa comecar volta h hoje participar acao corpo bombeiros smads outro
C:\3\DOUTORADO\NATUREZAS\1\3. NOTÍCIAS INSTITUCIONAIS\prefeitura\seguranca_urbana-defesa_civil\2018-12-08-1-2.txtΓ"








   Balanço de atendimento na região de Perus  O maior número de chamadas foi para desabamentos, sendo 16 imóveis atingidos    8/12/2018    A Defesa Civil do Município de São Paulo informa que atendeu 57 ocorrências registradas na região de Perus, zona norte, devido às fortes chuvas que atingiram a cidade na madrugada da última quinta-feira (20).  As equipes ainda atenderam outros tipos de ocorrências, dentre elas: deslizamentos; alagamentos; inundações; duas quedas de árvores e realizaram vistorias em diversos imóveis da região, onde foram interditadas 07 residências que apresentavam riscos estruturais.  
"Γ8/12/2018Γbalanço de atendimento em o região de Perus o grande número de chamada ser para desabamento , ser 16 imóvel atingir 8/12/2018 o Defesa Civil de o Município de São Paulo informar que atender 57 ocorrência registrar em o região de Perus , zona norte , devido a o forte chuva que atingir o cidade em o madrugada de o último quinta-feira ( 20 ) . o equipe ainda atender outro tipo de ocorrência , dentre ele : deslizamento ; alagamento ; inundação ; dois queda de árvore e realizar vistoria em diversos imóvel de o região , onde ser interditar 07 residência que apresentar risco estrutural .Γbalanco atendimento regiao perus grande numero chamada ser desabamento ser imovel atingir defesa civil informar atender ocorrencia registrar regiao perus zona norte devido forte chuva atingir madrugada ultimo equipe ainda atender outro tipo ocorrencia dentre deslizamento alagamento inundacao dois queda arvore realizar vistoria diversos imovel regiao onde ser interditar residencia apresentar risco estrutural
