Validation_Set,Topics,Alpha,Beta,Coherence
75% Corpus,9,asymmetric,0.9099999999999999,0.4359500796015976
75% Corpus,9,asymmetric,symmetric,0.3345995180582841
75% Corpus,10,0.01,0.01,0.3700329403249477
75% Corpus,10,0.01,0.31,0.3918283718090718
75% Corpus,10,0.01,0.61,0.5155312757725063
75% Corpus,10,0.01,0.9099999999999999,0.4429717941148453
75% Corpus,10,0.01,symmetric,0.3648954053118841
75% Corpus,10,0.31,0.01,0.3647202521829336
75% Corpus,10,0.31,0.31,0.4041754298284712
75% Corpus,10,0.31,0.61,0.5171901026646848
75% Corpus,10,0.31,0.9099999999999999,0.3976154829207847
75% Corpus,10,0.31,symmetric,0.3679261332129549
75% Corpus,10,0.61,0.01,0.3628144913271123
75% Corpus,10,0.61,0.31,0.4038719451682978
75% Corpus,10,0.61,0.61,0.4683271727622153
75% Corpus,10,0.61,0.9099999999999999,0.3959758673510705
75% Corpus,10,0.61,symmetric,0.3617854640165191
75% Corpus,10,0.9099999999999999,0.01,0.3898231537185985
75% Corpus,10,0.9099999999999999,0.31,0.4166967513584246
75% Corpus,10,0.9099999999999999,0.61,0.4589736575918269
75% Corpus,10,0.9099999999999999,0.9099999999999999,0.3899247035340168
75% Corpus,10,0.9099999999999999,symmetric,0.3581800134500613
75% Corpus,10,symmetric,0.01,0.3631911553465839
75% Corpus,10,symmetric,0.31,0.4057950006725935
75% Corpus,10,symmetric,0.61,0.4986556008235997
75% Corpus,10,symmetric,0.9099999999999999,0.4452383628963492
75% Corpus,10,symmetric,symmetric,0.3481791225479654
75% Corpus,10,asymmetric,0.01,0.356432356177547
75% Corpus,10,asymmetric,0.31,0.4587932615394702
75% Corpus,10,asymmetric,0.61,0.5310506440418525
75% Corpus,10,asymmetric,0.9099999999999999,0.3961811536310805
75% Corpus,10,asymmetric,symmetric,0.3363183365902529
75% Corpus,11,0.01,0.01,0.3557610799982606
75% Corpus,11,0.01,0.31,0.4261997750705829
75% Corpus,11,0.01,0.61,0.4264710661359124
75% Corpus,11,0.01,0.9099999999999999,0.3834815748503439
75% Corpus,11,0.01,symmetric,0.377615619343536
75% Corpus,11,0.31,0.01,0.365951275853531
75% Corpus,11,0.31,0.31,0.4182466154511642
75% Corpus,11,0.31,0.61,0.416509219609545
75% Corpus,11,0.31,0.9099999999999999,0.3707763120185496
75% Corpus,11,0.31,symmetric,0.3797209917748377
75% Corpus,11,0.61,0.01,0.374804251819464
75% Corpus,11,0.61,0.31,0.4191617596592623
75% Corpus,11,0.61,0.61,0.4305505754672938
75% Corpus,11,0.61,0.9099999999999999,0.4159772544506975
75% Corpus,11,0.61,symmetric,0.3808102162674138
75% Corpus,11,0.9099999999999999,0.01,0.3944059409615652
75% Corpus,11,0.9099999999999999,0.31,0.4055664962664025
75% Corpus,11,0.9099999999999999,0.61,0.4386445581145881
75% Corpus,11,0.9099999999999999,0.9099999999999999,0.3780334308890944
75% Corpus,11,0.9099999999999999,symmetric,0.3782143086433185
75% Corpus,11,symmetric,0.01,0.3683277091196499
75% Corpus,11,symmetric,0.31,0.4286076992441075
75% Corpus,11,symmetric,0.61,0.4145791094764997
75% Corpus,11,symmetric,0.9099999999999999,0.4073002595284837
75% Corpus,11,symmetric,symmetric,0.3780419035521854
75% Corpus,11,asymmetric,0.01,0.3730654955371373
75% Corpus,11,asymmetric,0.31,0.455104559582016
75% Corpus,11,asymmetric,0.61,0.4466679852207504
75% Corpus,11,asymmetric,0.9099999999999999,0.4686424735119929
75% Corpus,11,asymmetric,symmetric,0.3661532876778606
75% Corpus,12,0.01,0.01,0.3691325247816615
75% Corpus,12,0.01,0.31,0.4080460397288304
75% Corpus,12,0.01,0.61,0.3768922092575402
75% Corpus,12,0.01,0.9099999999999999,0.441598283887945
75% Corpus,12,0.01,symmetric,0.4089726739115915
75% Corpus,12,0.31,0.01,0.3979907931433519
75% Corpus,12,0.31,0.31,0.4376315295349879
75% Corpus,12,0.31,0.61,0.4525147220898411
75% Corpus,12,0.31,0.9099999999999999,0.4544499374589587
75% Corpus,12,0.31,symmetric,0.397954973207196
