Validation_Set,Topics,Alpha,Beta,Coherence
75% Corpus,7,0.61,0.9099999999999999,0.4506971880213459
75% Corpus,7,0.61,symmetric,0.4395445393109245
75% Corpus,7,0.9099999999999999,0.01,0.442497337822057
75% Corpus,7,0.9099999999999999,0.31,0.4510390519935645
75% Corpus,7,0.9099999999999999,0.61,0.45917554321425186
75% Corpus,7,0.9099999999999999,0.9099999999999999,0.45970567170112847
75% Corpus,7,0.9099999999999999,symmetric,0.445774862380811
75% Corpus,7,symmetric,0.01,0.44681383375679534
75% Corpus,7,symmetric,0.31,0.44987906385779775
75% Corpus,7,symmetric,0.61,0.45989329383860883
75% Corpus,7,symmetric,0.9099999999999999,0.45588678052770987
75% Corpus,7,symmetric,symmetric,0.452169937172518
75% Corpus,7,asymmetric,0.01,0.4246351269014559
75% Corpus,7,asymmetric,0.31,0.43275140380549076
75% Corpus,7,asymmetric,0.61,0.4305196566650729
75% Corpus,7,asymmetric,0.9099999999999999,0.43057075686741547
75% Corpus,7,asymmetric,symmetric,0.4266973950192935
75% Corpus,8,0.01,0.01,0.42223393898894807
75% Corpus,8,0.01,0.31,0.417439158153163
75% Corpus,8,0.01,0.61,0.4243658799842281
75% Corpus,8,0.01,0.9099999999999999,0.4339010842524083
75% Corpus,8,0.01,symmetric,0.4323160840107701
75% Corpus,8,0.31,0.01,0.4154955546892054
75% Corpus,8,0.31,0.31,0.4322059535732009
75% Corpus,8,0.31,0.61,0.4331608672819728
75% Corpus,8,0.31,0.9099999999999999,0.4400089956729045
75% Corpus,8,0.31,symmetric,0.4197170254742656
75% Corpus,8,0.61,0.01,0.4148152038856949
75% Corpus,8,0.61,0.31,0.41512750544144483
75% Corpus,8,0.61,0.61,0.4125395271689547
75% Corpus,8,0.61,0.9099999999999999,0.42701058388714913
75% Corpus,8,0.61,symmetric,0.41631959278303177
75% Corpus,8,0.9099999999999999,0.01,0.39826274131940603
75% Corpus,8,0.9099999999999999,0.31,0.41955365665284017
75% Corpus,8,0.9099999999999999,0.61,0.42462663272291823
75% Corpus,8,0.9099999999999999,0.9099999999999999,0.42293973270751295
75% Corpus,8,0.9099999999999999,symmetric,0.40447965681585873
75% Corpus,8,symmetric,0.01,0.41328080223858904
75% Corpus,8,symmetric,0.31,0.42631031056024127
75% Corpus,8,symmetric,0.61,0.4282871396747153
75% Corpus,8,symmetric,0.9099999999999999,0.4310189910843447
75% Corpus,8,symmetric,symmetric,0.4178910727852705
75% Corpus,8,asymmetric,0.01,0.4054926100587245
75% Corpus,8,asymmetric,0.31,0.40674656161265316
75% Corpus,8,asymmetric,0.61,0.41798142461297105
75% Corpus,8,asymmetric,0.9099999999999999,0.41815155379970514
75% Corpus,8,asymmetric,symmetric,0.409603797927657
75% Corpus,9,0.01,0.01,0.4458678048397795
75% Corpus,9,0.01,0.31,0.4512366366267408
75% Corpus,9,0.01,0.61,0.4586415875585365
75% Corpus,9,0.01,0.9099999999999999,0.46258174390774126
75% Corpus,9,0.01,symmetric,0.45100826091736806
75% Corpus,9,0.31,0.01,0.4368979665845847
75% Corpus,9,0.31,0.31,0.44456160888457813
75% Corpus,9,0.31,0.61,0.4482166943031856
75% Corpus,9,0.31,0.9099999999999999,0.4544080942322761
